Neighbourhood ID,Neighbourhood Name,18+ Population (18+ nhood 2021 May 2021 ),Count of 18+ fully vaccinated clients,Vaccination Rate
129,Agincourt North,27405,22738,84
128,Agincourt South-Malvern West,22325,19142,86
20,Alderwood,11024,8546,78
95,Annex,27666,20517,75
42,Banbury-Don Mills,26486,20793,79
34,Bathurst Manor,19719,15644,80
76,Bay Street Corridor,27580,24722,90
52,Bayview Village,19940,15158,76
49,Bayview Woods-Steeles,14608,10865,75
39,Bedford Park-Nortown,20637,16373,80
112,Beechborough-Greenbrook,5602,4292,76
127,Bendale,23858,21272,89
122,Birchcliffe-Cliffside,20100,16972,85
24,Black Creek,18273,15331,83
69,Blake-Jones,7027,5430,78
108,Briar Hill-Belgravia,13444,10806,80
41,Bridle Path-Sunnybrook-York Mills,8437,6357,77
57,Broadview North,10302,7584,73
30,Brookhaven-Amesbury,13916,10962,78
71,Cabbagetown-South St.James Town,11696,10014,86
109,Caledonia-Fairbank,8965,7274,81
96,Casa Loma,11242,8896,79
133,Centennial Scarborough,12264,10877,89
75,Church-Yonge Corridor,36362,30584,84
120,Clairlea-Birchmount,29155,23091,80
33,Clanton Park,11533,9270,81
123,Cliffcrest,14009,11991,86
92,Corso Italia-Davenport,12328,10099,82
66,Danforth,8185,6462,79
59,Danforth East York,14947,12029,81
47,Don Valley Village,22821,17520,77
126,Dorset Park,23506,19277,82
93,Dovercourt-Wallace Emerson-Junction,33916,26953,80
26,Downsview-Roding-CFB,34540,29046,84
83,Dufferin Grove,11767,9213,79
62,East End-Danforth,19752,16096,82
9,Edenbridge-Humber Valley,14264,11190,79
138,Eglinton East,18898,15450,82
5,Elms-Old Rexdale,8348,6066,72
32,Englemount-Lawrence,19786,14540,72
11,Eringate-Centennial-West Deane,17112,13131,77
13,Etobicoke West Mall,10616,7672,72
44,Flemingdon Park,19926,15154,76
102,Forest Hill North,11225,9070,81
101,Forest Hill South,10207,7847,78
25,Glenfield-Jane Heights,25520,20226,79
65,Greenwood-Coxwell,12684,9912,79
140,Guildwood,9446,8071,86
53,Henry Farm,18454,15083,82
88,High Park North,20609,15539,76
87,High Park-Swansea,21095,16202,78
134,Highland Creek,12001,10533,88
48,Hillcrest Village,17253,12412,73
8,Humber Heights-Westmount,9358,7283,77
21,Humber Summit,10624,8510,80
22,Humbermede,14211,11542,81
106,Humewood-Cedarvale,11867,9350,80
125,Ionview,8716,6985,81
14,Islington-City Centre West,42317,33701,80
90,Junction Area,13352,10582,80
110,Keelesdale-Eglinton West,9423,7659,81
124,Kennedy Park,15976,14391,90
78,Kensington-Chinatown,18200,14101,78
6,Kingsview Village-The Westway,20917,14960,71
15,Kingsway South,8082,6810,85
117,L'Amoreaux,40467,32361,80
114,Lambton Baby Point,6866,5257,77
38,Lansing-Westgate,12959,10266,80
105,Lawrence Park North,12458,10107,83
103,Lawrence Park South,13023,10700,84
56,Leaside-Bennington,15057,12491,84
84,Little Portugal,15356,11850,78
19,Long Branch,9844,7149,73
132,Malvern,38983,33360,85
29,Maple Leaf,11851,9376,79
12,Markland Wood,9739,7389,76
130,Milliken,24126,20015,84
17,Mimico,35401,27869,79
135,Morningside,15391,12818,83
73,Moss Park,20849,17670,84
115,Mount Dennis,11789,8677,73
2,Mount Olive-Silverstone-Jamestown,27931,20843,74
99,Mount Pleasant East,14494,11453,80
104,Mount Pleasant West,33201,27268,82
18,New Toronto,10404,8103,78
50,Newtonbrook East,13093,10130,78
36,Newtonbrook West,25236,19969,79
82,Niagara,29256,24585,84
68,North Riverdale,10657,8499,81
74,North St.James Town,17499,13510,77
54,O'Connor-Parkview,16711,12665,76
121,Oakridge,12398,9899,80
107,Oakwood Village,18664,14963,80
58,Old East York,8046,6416,80
80,Palmerston-Little Italy,13121,10037,77
45,Parkwoods-Donalda,31373,23796,76
23,Pelmo Park-Humberlea,9515,8068,85
67,Playter Estates-Danforth,7220,5692,80
46,Pleasant View,16422,12430,76
10,Princess-Rosethorn,10112,8006,80
72,Regent Park,11107,8437,76
4,Rexdale-Kipling,9433,7513,79
111,Rockcliffe-Smythe,19954,15748,79
86,Roncesvalles,13873,10274,75
98,Rosedale-Moore Park,20787,16002,78
131,Rouge,40271,34014,85
89,Runnymede-Bloor West Village,8588,7069,83
28,Rustic,5762,4663,81
139,Scarborough Village,17340,14061,81
85,South Parkdale,20611,15686,76
70,South Riverdale,25948,20368,79
40,St.Andrew-Windfields,16100,11911,75
116,Steeles,23417,18852,81
16,Stonegate-Queensway,22155,16557,75
118,Tam O'Shanter-Sullivan,25806,20611,80
61,Taylor-Massey,18531,11979,65
63,The Beaches,19236,15613,82
3,Thistletown-Beaumond Heights,9290,7468,80
55,Thorncliffe Park,17886,13543,76
81,Trinity-Bellwoods,14661,11158,77
79,University,8574,6729,78
43,Victoria Village,15792,12275,78
77,Waterfront Communities-The Island,70070,60343,86
136,West Hill,23350,18801,80
1,West Humber-Clairville,31230,25019,80
35,Westminster-Branson,25514,18975,74
113,Weston,18516,14137,76
91,Weston-Pellam Park,10243,7950,77
119,Wexford/Maryvale,25763,21275,83
51,Willowdale East,50622,36873,74
37,Willowdale West,15280,11495,76
7,Willowridge-Martingrove-Richview,19587,15564,79
137,Woburn,45865,39984,87
64,Woodbine Corridor,10872,8689,81
60,Woodbine-Lumsden,6948,5626,82
94,Wychwood,13978,10988,79
100,Yonge-Eglinton,10708,8407,80
97,Yonge-St.Clair,11321,9358,83
27,York University Heights,25743,23364,90
31,Yorkdale-Glen Park,14851,12486,84
